time,flux
54957.11464680001,17.439697059281425
54957.1350814,3.7630994065493946
54957.155516,9.506433639940754
54957.1759507,4.892760328784672
54957.1963852,7.197703617118215
54957.21681980001,6.7317047812281
54957.2372544,11.23418664063052
54957.257689,10.089386804342205
54957.2781236,10.486910619149736
54957.2985582,8.371206908535205
54957.3189929,2.1579827402459264
54957.3394274,11.995155658770297
54957.359862,4.998882729849158
54957.38029659999,7.522775795247691
54957.40073119999,3.4765937776395113
54957.4211658,3.526411661388474
54957.44160040001,-5.653211412141268
54957.4620351,11.259404055565644
54957.4824697,-4.336713164355155
54957.5029043,5.2313455983084705
54957.5233388,-1.0567428461054564
54957.5437735,6.787694839417988
54957.5642081,-1.450495788729595
54957.5846426,-2.353681951732828
54957.6050773,-14.84046915228116
54957.6255119,3.743036182308445
