time,flux,flux_err
56226.8192082,0.58405193875551,nan
56226.839641,1.0364536382559821,nan
56226.8600738,0.7768586610367513,nan
56226.88050650001,1.1825346237547012,nan
56226.90093919999,1.1983007607440763,nan
56226.9213719,-0.918532255253447,nan
56226.9418046,-3.76238439885075,nan
56226.9622373,-11.360667467993043,nan
56226.98267000001,-17.319116331287717,nan
56227.0031028,-21.769094627459086,nan
56227.0235355,-26.892374740312707,nan
56227.0439681,-33.511561646776016,nan
56227.06440090001,-35.64444087305433,nan
56227.0848336,-35.75769444889996,nan
56227.10526619999,-34.860700777363334,nan
56227.1256991,-32.932577529871274,nan
56227.14613169999,-31.09394091939032,nan
56227.1665641,-24.248846701649683,nan
56227.1869968,-22.77880584094581,nan
56227.20742940001,-18.550048014699147,nan
56227.2278622,-17.16411432176315,nan
56227.2482949,-14.990957271373034,nan
56227.2687275,-13.103492925704565,nan
56227.2891603,-10.144508207408476,nan
56227.309593,-5.421071422151125,nan
56227.33002560001,-1.9343374089018877,nan
56227.3504584,3.3017869252720855,nan
56227.3708911,8.572037426508492,nan
56227.3913238,15.711602355975481,nan
56227.41175650001,19.33011003785319,nan
56227.43218919999,25.598693551294105,nan
56227.4526219,27.154231864501,nan
56227.4730546,31.452406511640483,nan
56227.4934873,28.552896241899145,nan
56227.5139201,28.515591245724274,nan
56227.5343528,27.992243255939457,nan
56227.5547855,27.05681596242254,nan
56227.57521830001,25.068699020659942,nan
56227.595651,23.1239270159261,nan
56227.6160836,22.91519378133487,nan
56227.6365164,22.439980431089026,nan
56227.6569491,18.73201805419393,nan
56227.67738169999,17.47777191358174,nan
56227.6978145,13.326168041767769,nan
56227.7182472,9.284032330024816,nan
56227.7386798,9.772702912911669,nan
56227.75911259999,7.715427334682248,nan
56227.77954530001,4.584996032258397,nan
56227.799978,2.826201916240443,nan
56227.8204107,1.8704041645094602,nan
56227.84084330001,3.1263342542014425,nan
56227.8612761,1.0576810315770295,nan
56227.88170880001,2.663235266531879,nan
56227.9021415,1.473320084390147,nan
56227.9225742,1.5339257764689167,nan
56227.9430069,-1.8300955145397961,nan
56227.9634396,-5.842034161139798,nan
56227.98387230001,-12.710494768585415,nan
56228.004305,-17.632248633842227,nan
56228.0247377,-22.148739409281795,nan
56228.0451704,-27.439883588656834,nan
56228.0656031,-35.503291012751234,nan
56228.0860359,-33.55547195684159,nan
56228.1064686,-35.53215314730212,nan
56228.1269012,-35.24343306221125,nan
56228.147334,-34.368719915094594,nan
56228.1677667,-30.8360815390826,nan
56228.1881992,-26.3982609408998,nan
56228.208632,-23.10754573415214,nan
56228.24949730001,-17.208544826200615,nan
56228.2699301,-16.449968729691385,nan
56228.2903628,-13.321378679887411,nan
56228.3107956,-10.762558416005618,nan
56228.3312282,-7.619764544761864,nan
56228.3516609,-1.1740001553767911,nan
56228.37209369999,2.5468039483770935,nan
56228.3925263,7.266585952799219,nan
56228.412959,13.733926229694495,nan
56228.4333917,19.173251223215654,nan
56228.45382439999,23.551871757848815,nan
56228.4742571,25.95307509008616,nan
56228.4946898,29.845635805678107,nan
56228.5151225,28.970310178832392,nan
56228.53555519999,31.581680457031684,nan
56228.555988,28.304616314001574,nan
56228.5764206,26.88664585127455,nan
56228.59685340001,25.559045974857465,nan
56228.6172861,23.416031105112978,nan
56228.6377186,20.7153681697499,nan
56228.658151400006,20.708084799924272,nan
56228.6785841,18.697447298950145,nan
56228.6990167,15.571954605964283,nan
56228.7194495,11.911863051634521,nan
